id,policy_key,status,premium_amount,insurance_company,ramo_nombre,start_date,end_date,numero_renovacion
203600,8901091736601,expired,389300.0,BOLIVAR,SOAT,2024-05-01,2025-04-30,0
203602,4308005328118000,expired,389300.0,PREVISORA,SOAT,2024-05-02,2025-05-01,0
203613,8901091604201,expired,1162400.0,BOLIVAR,SOAT,2024-04-30,2025-04-29,0
203614,8901091556801,expired,484600.0,BOLIVAR,SOAT,2024-04-30,2025-04-29,0
203617,8901091579601,expired,201600.0,BOLIVAR,SOAT,2024-04-30,2025-04-29,0
203618,8901091666801,expired,919000.0,BOLIVAR,SOAT,2024-04-30,2025-04-29,0
203619,4308005321233000,expired,677800.0,PREVISORA,SOAT,2024-04-30,2025-04-29,0
203623,994000000079,expired,61736.0,ASEGURADORA SOLIDARIA DE COLOMBIA,RESPONSABILIDAD CIVIL,2025-04-14,2025-10-22,0
203638,8901091629801,expired,484600.0,BOLIVAR,SOAT,2024-04-30,2025-04-29,0
203639,8901091613901,expired,544800.0,BOLIVAR,SOAT,2024-04-29,2025-04-28,0
203664,39116100,expired,544800.0,SURA,SOAT,2024-04-30,2025-04-29,0
203666,8901091645501,expired,803200.0,BOLIVAR,SOAT,2024-04-30,2025-04-29,0
203672,4308006429512000,expired,618900.0,PREVISORA,SOAT,2025-02-08,2026-02-07,0
203718,101001268,expired,450000.0,SEGUROS DEL ESTADO S.A,RESPONSABILIDAD CIVIL,2025-04-07,2025-04-13,0
203813,10565200446650,expired,62200.0,SEGUROS DEL ESTADO S.A,SOAT,2025-04-15,2025-05-15,0
203878,PI277829,cancelled,1209299.0,EQUIDAD,AUTOMOVILES,2025-04-10,2026-04-10,2
203882,8901090675201,expired,484600.0,BOLIVAR,SOAT,2024-04-23,2025-04-22,0
203883,8901090644001,expired,567400.0,BOLIVAR,SOAT,2024-04-28,2025-04-27,0
203885,8901090718401,expired,484600.0,BOLIVAR,SOAT,2024-04-23,2025-04-22,0
203893,4308005300680000,expired,484600.0,PREVISORA,SOAT,2024-04-21,2025-04-20,0
203894,4308005300094000,expired,484600.0,PREVISORA,SOAT,2024-04-21,2025-04-20,0
203895,4308005300002000,expired,201600.0,PREVISORA,SOAT,2024-04-21,2025-04-20,0
203896,10565200341740,expired,201600.0,SEGUROS DEL ESTADO S.A,SOAT,2024-04-23,2025-04-22,0
203898,14289408916490,expired,484600.0,SEGUROS DEL ESTADO S.A,SOAT,2024-04-23,2025-04-22,0
203899,14289408913500,expired,677800.0,SEGUROS DEL ESTADO S.A,SOAT,2024-04-23,2025-04-22,0
203900,39073685,expired,484600.0,SURA,SOAT,2024-04-22,2025-04-21,0
203901,39070816,expired,201600.0,SURA,SOAT,2024-04-23,2025-04-22,0
203902,14289408902430,expired,424000.0,SEGUROS DEL ESTADO S.A,SOAT,2024-04-21,2025-04-20,0
203903,14289408902270,expired,319400.0,SEGUROS DEL ESTADO S.A,SOAT,2024-04-29,2025-04-28,0
203904,39061698,expired,201600.0,SURA,SOAT,2024-04-21,2025-04-20,0
203905,8901090444301,expired,636000.0,BOLIVAR,SOAT,2024-04-21,2025-04-20,0
203906,4308005301119000,expired,389300.0,PREVISORA,SOAT,2024-04-21,2025-04-20,0
203907,4308005300908000,expired,150100.0,PREVISORA,SOAT,2024-04-21,2025-04-20,0
